The start time is: Sun, 19 Jun 2022 15:20:23
Input file: C:\Users\Sumpaame\Desktop\FYP\PubChem_compound_2100.sdf
Output file: C:\Users\Sumpaame\Desktop\FYP\Mold2\Windows\output.txt
Report file: C:\Users\Sumpaame\Desktop\FYP\Mold2\Windows\report.txt

ReadIn_ID	USER_ID	Status	Time(s)
1165		Ok	0
1164		Ok	0.078
1163		Ok	0
1162		Ok	0.015
1161		Ok	0
1160		Ok	0.016
1159		Ok	0
1158		Ok	0
1157		Ok	0
1156		Ok	0.016
1155		Ok	0
1154		Ok	0
1153		Ok	0.093
1152		Ok	0.016
1151		Ok	0
1150		Subgroup deleted	0.016
1149		Subgroup deleted	0
1148		Ok	0
1147		Ok	0.109
1146		Ok	0.016
1145		Ok	0.015
1144		Ok	0
1143		Ok	0
1142		Ok	0.016
1141		Ok	0
1140		Ok	0.031
1139		Ok	0
1138		Ok	0.016
1137		Ok	0
1136		Ok	0.015
1135		Ok	0.016
1134		Subgroup deleted	0.062
1133		Ok	0.016
1132		Ok	0.062
1131		Subgroup deleted	0
1130		Ok	0.016
1129		Ok	0
1128		Ok	0
1127		Ok	0.016
1126		Subgroup deleted	0
1125		Ok	0
1124		Ok	0.015
1123		Ok	0
1122		Ok	0
1121		Ok	0.016
1120		Ok	0
1119		Ok	0
1118		Ok	0
1117		Ok	0.015
1116		Ok	0
1115		Ok	0.016
1114		Ok	0
1113		Ok	0
1112		Ok	0.016
1111		Ok	0.015
1110		Ok	0.016
1109		Ok	0
1108		Ok	0.016
1107		Ok	0
1106		Ok	0.015
1105		Ok	0.016
1104		Ok	0
1103		Ok	0.015
1102		Ok	0
1101		Ok	0.016
1100		Ok	0.016
1099		Subgroup deleted	0
1098		Ok	0.015
1097		Ok	0.016
1096		Ok	0.009
1095		Ok	0.017
1094		Ok	0.036
1093		Ok	0
1092		Ok	0
1091		Ok	0.015
1090		Ok	0
1089		Subgroup deleted	0.016
1088		Ok	0.016
1087		Ok	0.019
1086		Ok	0.021
1085		Ok	0.016
1084		Subgroup deleted	0.016
1083		Subgroup deleted	0.015
1082		Ok	0.032
1081		Ok	0
1080		Ok	0.015
1079		Ok	0
1078		Ok	0.016
1077		Ok	0
1076		Ok	0.016
1075		Ok	0.031
1074		Ok	0.015
1073		Ok	0.016
1072		Ok	0.031
1071		Ok	0.018
1070		Ok	0.015
1069		Subgroup deleted	0.031
1068		Ok	0.032
1067		Subgroup deleted	0.015
1066		Ok	0.016
1065		Ok	0.016
1064		Ok	0.015
1063		Ok	0
1062		Ok	0.047
1061		Ok	0.006
1060		Ok	0.031
1059		Ok	0.016
1058		Ok	0
1057		Ok	0.031
1056		Ok	0.047
1055		Ok	0.016
1054		Ok	0.047
1053		Ok	0.015
1052		Ok	0
1051		Ok	0.016
1050		Ok	0.031
1049		Ok	0.078
1048		Ok	0.016
1047		Ok	0.015
1046		Ok	0.016
1045		Ok	0.016
1044		Ok	0.015
1043		Ok	0.016
1042		Ok	0
1041		Ok	0.016
1040		Ok	0.015
1039		Ok	0.016
1038		Ok	0.015
1037		Ok	0.016
1036		Ok	0.016
1035		Ok	0
1034		Ok	0.015
1033		Ok	0.016
1032		Ok	0.187
1031		Ok	0.015
1030		Ok	0.016
1029		Ok	0.031
1028		Ok	0.016
1027		Ok	0.031
1026		Ok	0.016
1025		Ok	0.031
1024		Ok	0.015
1023		Ok	0.022
1022		Ok	0.031
1021		Ok	0.016
1020		Ok	0.016
1019		Ok	0.015
1018		Ok	0.016
1017		Ok	0.031
1016		Ok	0.016
1015		Ok	0.031
1014		Ok	0
1013		Ok	0.031
1012		Ok	0.016
1011		Ok	0.016
1010		Ok	0.015
1009		Ok	0.016
1008		Ok	0
1007		Ok	0.015
1006		Ok	0.032
1005		Ok	0.015
