The start time is: Mon, 27 Jun 2022 23:46:42
Input file: C:\Users\Sumpaame\Desktop\FYP\PubChem_substance_cache_qu0NKMIOp7KQmKWBJ_nsrXLg5oCDG2DxGtR7vQHFabwB3FU_records.sdf
Output file: C:\Users\Sumpaame\Desktop\FYP\Mold2\Windows\output.txt
Report file: C:\Users\Sumpaame\Desktop\FYP\Mold2\Windows\report.txt

ReadIn_ID	USER_ID	Status	Time(s)
715		Subgroup deleted	0.01
714		Ok	0.007
713		Ok	0.03
712		Ok	0.022
711		Ok	0.016
710		Ok	0.023
709		Ok	0.025
708		Ok	0.014
707		Ok	0.012
706		Ok	0.016
705		Ok	0.019
704		Ok	0.053
703		Ok	0.019
702		Ok	0.021
701		Ok	0.025
700		Ok	0.043
699		Ok	0.033
698		Ok	0.074
697		Ok	0.01
696		Subgroup deleted	0.084
695		Ok	0.01
694		Ok	0.036
693		Ok	0.015
692		Ok	0.032
691		Ok	0.045
690		Ok	0.028
689		Ok	0.076
688		Ok	0.01
687		Ok	0.08
686		Ok	0.057
685		Ok	0.073
684		Ok	0.016
683		Ok	0.064
682		Ok	0.039
681		Ok	0.056
680		Ok	0.047
679		Ok	0.007
678		Ok	0.051
677		Ok	0.016
676		Ok	0.02
675		Ok	0.014
674		Ok	0.059
673		Ok	0.02
672		Ok	0.02
671		Ok	0.063
670		Ok	0.015
669		Ok	0.056
668		Ok	0.027
667		Ok	0.027
666		Ok	0.056
665		Ok	0.015
664		Ok	0.032
663		Ok	0.052
662		Ok	0.008
661		Ok	0.037
660		Ok	0.054
659		Ok	0.027
658		Ok	0.019
657		Ok	0.045
656		Ok	0.041
655		Ok	0.011
654		Ok	0.006
653		Ok	0.079
652		Ok	0.049
651		Ok	0.046
650		Ok	0.05
649		Ok	0.014
648		Ok	0.015
647		Ok	0.03
646		Ok	0.015
645		Ok	0.053
644		Ok	0.045
643		Ok	0.021
642		Ok	0.05
641		Ok	0.057
640		Ok	0.016
639		Ok	0.059
638		Ok	0.067
637		Ok	0.019
636		Ok	0.041
635		Ok	0.067
634		Ok	0.019
633		Ok	0.06
632		Ok	0.054
631		Ok	0.017
630		Ok	0.05
629		Subgroup deleted	0.017
628		Ok	0.109
627		Ok	0.069
626		Ok	0.017
625		Ok	0.058
624		Ok	0.01
623		Ok	0.12
622		Ok	0.01
621		Ok	0.022
620		Ok	0.015
619		Subgroup deleted	0.016
618		Ok	0.009
617		Ok	0.021
616		Ok	0.015
615		Ok	0.015
614		Ok	0.023
613		Ok	0.023
612		Ok	0.03
611		Ok	0.015
610		Ok	0.018
609		Ok	0.03
608		Ok	0.049
607		Ok	0.017
606		Ok	0.017
605		Ok	0.038
604		Ok	0.025
603		Ok	0.012
602		Ok	0.021
601		Ok	0.013
600		Ok	0.035
599		Ok	0.027
598		Ok	0.017
597		Ok	0.04
596		Ok	0.017
595		Ok	0.027
594		Ok	0.032
593		Ok	0.021
592		Ok	0.061
591		Ok	0.045
590		Ok	0.039
589		Ok	0.063
588		Ok	0.04
587		Ok	0.045
586		Ok	0.02
585		Ok	0.04
584		Ok	0.036
583		Ok	0.025
582		Ok	0.029
581		Ok	0.017
580		Ok	0.035
579		Ok	0.043
578		Ok	0.019
577		Ok	0.03
576		Ok	0.018
575		Ok	0.033
574		Ok	0.021
573		Ok	0.028
572		Ok	0.052
571		Ok	0.039
570		Ok	0.07
569		Ok	0.035
568		Ok	0.046
567		Ok	0.038
566		Ok	0.016
565		Ok	0.025
564		Ok	0.057
563		Ok	0.016
562		Ok	0.048
561		Ok	0.039
560		Ok	0.046
559		Ok	0.051
558		Ok	0.029
557		Ok	0.016
556		Ok	0.046
555		Ok	0.049
554		Ok	0.01
553		Ok	0.045
552		Ok	0.009
551		Ok	0.045
550		Ok	0.047
549		Ok	0.035
548		Ok	0.053
547		Ok	0.055
546		Ok	0.044
545		Ok	0.049
544		Ok	0.049
543		Ok	0.055
542		Ok	0.017
541		Ok	0.008
540		Ok	0.053
539		Ok	0.06
538		Ok	0.007
537		Ok	0.035
536		Ok	0.045
535		Ok	0.084
534		Ok	0.066
533		Ok	0.053
532		Ok	0.068
531		Ok	0.08
530		Ok	0.065
529		Ok	0.051
528		Ok	0.082
527		Ok	0.064
526		Ok	0.057
525		Ok	0.079
524		Ok	0.015
523		Ok	0.134
522		Ok	0.057
521		Ok	0.017
520		Subgroup deleted	0.036
519		Ok	0.04
518		Ok	0.024
517		Ok	0.011
516		Ok	0.075
515		Ok	0.005
514		Ok	0.018
513		Ok	0.053
512		Ok	0.068
511		Ok	0.023
510		Ok	0.04
509		Ok	0.013
508		Ok	0.082
507		Ok	0.044
506		Ok	0.014
505		Ok	0.044
504		Ok	0.034
503		Ok	0.102
502		Ok	0.023
501		Ok	0.041
500		Ok	0.035
499		Ok	0.048
498		Ok	0.021
497		Ok	0.028
496		Ok	0.013
495		Ok	0.043
494		Ok	0.012
493		Ok	0.043
492		Ok	0.04
491		Ok	0.006
490		Ok	0.079
489		Ok	0.02
488		Ok	0.023
487		Ok	0.055
486		Ok	0.019
485		Ok	0.069
484		Ok	0.036
483		Ok	0.021
482		Subgroup deleted	0.039
481		Ok	0.049
480		Ok	0.013
479		Ok	0.034
478		Ok	0.051
477		Ok	0.015
476		Ok	0.053
475		Ok	0.042
474		Ok	0.032
473		Ok	0.009
472		Ok	0.014
471		Ok	0.04
470		Ok	0.053
469		Ok	0.028
468		Ok	0.02
467		Ok	0.038
466		Ok	0.008
465		Ok	0.011
464		Ok	0.037
463		Ok	0.012
462		Ok	0.009
461		Ok	0.037
460		Ok	0.01
459		Ok	0.011
458		Ok	0.049
457		Ok	0.013
456		Ok	0.039
455		Ok	0.011
454		Ok	0.03
453		Ok	0.018
452		Ok	0.012
451		Ok	0.042
450		Ok	0.011
449		Ok	0.01
448		Ok	0.048
447		Ok	0.015
446		Ok	0.058
445		Ok	0.014
444		Ok	0.054
443		Ok	0.01
442		Ok	0.044
441		Ok	0.016
440		Ok	0.044
439		Ok	0.019
438		Ok	0.009
437		Ok	0.042
436		Ok	0.016
435		Ok	0.041
434		Ok	0.027
433		Ok	0.044
432		Ok	0.016
431		Ok	0.043
430		Ok	0.013
429		Ok	0.013
428		Ok	0.04
427		Ok	0.009
426		Ok	0.015
425		Ok	0.065
424		Ok	0.128
423		Ok	0.154
422		Ok	0.027
421		Ok	0.074
420		Ok	0.014
419		Ok	0.055
418		Ok	0.036
417		Ok	0.044
416		Ok	0.017
415		Ok	0.097
414		Ok	0.03
413		Ok	0.027
412		Ok	0.012
411		Ok	0.017
410		Ok	0.034
409		Ok	0.023
408		Ok	0.055
407		Ok	0.093
406		Ok	0.02
405		Ok	0.024
404		Ok	0.053
403		Ok	0.015
402		Ok	0.06
401		Ok	0.017
400		Ok	0.061
399		Ok	0.018
398		Ok	0.006
397		Ok	0.056
396		Ok	0.093
395		Ok	0.021
394		Ok	0.022
393		Ok	0.023
392		Ok	0.02
391		Ok	0.01
390		Ok	0.01
389		Ok	0.03
388		Ok	0.05
387		Ok	0.011
386		Ok	0.06
385		Ok	0.01
384		Ok	0.059
383		Subgroup deleted	0.018
382		Ok	0.069
